date,count,new cases,multiplication factor
2020-01-22,1,+0,0.000
2020-01-23,1,+0,1.000
2020-01-24,2,+1,2.000
2020-01-25,2,+0,1.000
2020-01-26,5,+3,2.500
2020-01-27,5,+0,1.000
2020-01-28,5,+0,1.000
2020-01-29,5,+0,1.000
2020-01-30,5,+0,1.000
2020-01-31,7,+2,1.400
2020-02-01,8,+1,1.143
2020-02-02,8,+0,1.000
2020-02-03,11,+3,1.375
2020-02-04,11,+0,1.000
2020-02-05,11,+0,1.000
2020-02-06,11,+0,1.000
2020-02-07,11,+0,1.000
2020-02-08,11,+0,1.000
2020-02-09,11,+0,1.000
2020-02-10,11,+0,1.000
2020-02-11,12,+1,1.091
2020-02-12,12,+0,1.000
2020-02-13,13,+1,1.083
2020-02-14,13,+0,1.000
2020-02-15,13,+0,1.000
2020-02-16,13,+0,1.000
2020-02-17,13,+0,1.000
2020-02-18,13,+0,1.000
2020-02-19,13,+0,1.000
2020-02-20,13,+0,1.000
2020-02-21,15,+2,1.154
2020-02-22,15,+0,1.000
2020-02-23,15,+0,1.000
2020-02-24,51,+36,3.400
2020-02-25,51,+0,1.000
2020-02-26,57,+6,1.118
2020-02-27,58,+1,1.018
2020-02-28,60,+2,1.034
2020-02-29,68,+8,1.133
2020-03-01,74,+6,1.088
2020-03-02,98,+24,1.324
2020-03-03,118,+20,1.204
2020-03-04,149,+31,1.263
2020-03-05,217,+68,1.456
2020-03-06,262,+45,1.207
2020-03-07,402,+140,1.534
2020-03-08,518,+116,1.289
2020-03-09,583,+65,1.125
2020-03-10,959,+376,1.645
2020-03-11,1281,+322,1.336
2020-03-12,1663,+382,1.298
2020-03-13,2179,+516,1.310
2020-03-14,2727,+548,1.251
2020-03-15,3499,+772,1.283
2020-03-16,4632,+1133,1.324
2020-03-17,6421,+1789,1.386
2020-03-18,7783,+1362,1.212
2020-03-19,13677,+5894,1.757
2020-03-20,19100,+5423,1.397
2020-03-21,25489,+6389,1.335
2020-03-22,33276,+7787,1.306
2020-03-23,43847,+10571,1.318
2020-03-24,53740,+9893,1.226
2020-03-25,65778,+12038,1.224
2020-03-26,83836,+18058,1.275
2020-03-27,101657,+17821,1.213
2020-03-28,121478,+19821,1.195
2020-03-29,140886,+19408,1.160
2020-03-30,161807,+20921,1.148
2020-03-31,188172,+26365,1.163
2020-04-01,213372,+25200,1.134
2020-04-02,243453,+30081,1.141
