name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020
Bergen New Jersey,457,609,701,819,1206,1505,1838,2169,2482,2909,3494,4099,4866,5760,6187,6862,7533
Broward Florida,217,263,311,355,504,614,814,838,1152,1219,1232,1481,1598,1765,1886,2067,2230
Clark Nevada,126,126,212,249,350,443,443,528,753,869,961,1125,1279,1418,1519,1608,1734
Cook Illinois,805,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111,7439,8034,8728,8728
Dallas Texas,131,155,169,247,303,367,439,488,549,631,731,831,921,1105,1112,1155,1261
District of Columbia District of Columbia,102,102,120,141,187,231,271,304,342,401,495,586,653,757,902,1002,1097,1211
Dutchess New York,82,100,124,153,190,225,262,320,392,484,547,667,809,938,1077,1189,1249
Erie New York,56,87,114,122,206,245,318,414,443,499,582,617,734,808,1059,1148,1234
Essex Massachusetts,60,73,118,177,247,350,472,570,653,784,885,1039,1238,1400,1506,1653,1841
Essex New Jersey,172,273,342,381,609,826,1086,1227,1564,1900,2262,2617,3067,3584,4082,4493,5078
Fairfield Connecticut,208,270,384,546,607,752,908,1245,1445,1870,1986,2132,2716,2824,3050,3719,4136
Fulton Georgia,111,145,184,198,211,307,373,407,463,570,624,712,882,941,962,1027,1124
Harris Texas,74,78,134,185,203,229,445,526,563,680,847,955,1106,1284,1395,1809,2146
Hartford Connecticut,54,61,88,116,138,189,228,276,330,393,469,539,679,726,751,882,1045
Hudson New Jersey,126,190,234,260,441,594,771,974,1314,1606,1910,2270,2835,3491,3924,4395,4949
Jefferson Louisiana,166,252,293,359,458,548,744,761,838,1193,1433,2178,2495,3008,3088,3530,3922
King Washington,1040,1170,1170,1359,1577,1577,2077,2159,2161,2330,2330,2656,2787,2898,3167,3331,3486
Lehigh Pennsylvania,19,25,27,38,63,93,109,151,231,272,374,479,584,804,877,1006,1146
Los Angeles California,407,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566,4605,5955,6377,6936
Macomb Michigan,140,175,225,281,347,404,534,620,728,853,1088,1332,1560,1838,2003,2159,2414
Maricopa Arizona,81,139,199,251,299,399,454,545,690,788,871,961,1049,1171,1326,1433,1495
Marion Indiana,82,82,161,226,293,484,584,676,804,964,1117,1304,1429,1570,1760,1956,2141
Miami-Dade Florida,227,278,338,400,616,763,1003,1192,1632,2123,2202,2886,3364,3890,4146,4481,4997
Middlesex Massachusetts,199,232,304,446,538,685,842,981,1141,1340,1582,1870,2202,2468,2632,2950,3187
Middlesex New Jersey,147,210,277,316,505,640,808,938,1123,1277,1493,1766,2125,2578,2950,3263,3717
Milwaukee Wisconsin,182,204,243,325,347,411,541,606,617,710,780,869,1023,1023,1190,1256,1323
Monmouth New Jersey,158,238,288,313,501,634,781,870,1030,1140,1301,1458,1743,2065,2354,2545,2770
Montgomery Pennsylvania,110,136,159,219,313,374,411,488,540,570,649,735,875,982,1111,1230,1359
Morris New Jersey,119,177,204,223,315,391,442,566,720,841,942,1082,1298,1618,1800,1956,2239
Nassau New York,1900,2442,2869,3285,3914,4657,5537,6445,7344,8544,9554,10587,12024,13346,14398,15616,16610
New Haven Connecticut,29,41,89,127,156,222,236,280,373,517,611,647,891,1024,1162,1468,1664
New York City New York,9654,12305,14904,17856,21873,25573,29776,33768,37453,43119,47439,51809,57159,63306,67551,72181,76876
Norfolk Massachusetts,75,82,129,222,292,393,490,548,628,738,829,938,1045,1199,1271,1382,1592
Oakland Michigan,277,329,428,543,668,824,1018,1170,1365,1591,1910,2183,2540,2785,3035,3380,3736
Ocean New Jersey,102,144,180,222,389,484,624,759,874,1022,1209,1371,1685,2003,2177,2374,2641
Orange New York,247,389,498,638,751,910,1101,1247,1435,1556,1756,1993,2397,2741,3187,3533,3829
Orleans Louisiana,451,567,675,827,997,1170,1298,1350,1480,1834,2270,3148,3476,3966,4066,4565,4942
Palm Beach Florida,72,89,101,118,169,194,292,333,423,551,567,737,858,954,1000,1069,1136
Passaic New Jersey,95,141,216,255,399,484,608,831,1091,1294,1494,1750,2216,2856,3227,3756,4104
Philadelphia Pennsylvania,96,175,252,342,475,637,803,890,1072,1315,1675,2100,2430,3008,3189,3728,4272
Plymouth Massachusetts,25,32,64,101,138,187,272,325,380,459,561,621,745,898,963,1067,1194
Prince George's Maryland,40,47,63,76,101,148,196,247,294,341,403,473,563,653,785,916,1020
Riverside California,29,46,57,68,105,149,183,195,291,371,371,493,493,638,799,946,1016
Rockland New York,455,592,671,968,1197,1457,1896,2209,2511,2863,3321,3751,4289,4872,5326,5703,5990
San Diego California,155,201,226,238,293,341,413,484,515,603,733,849,966,1112,1209,1326,1404
Santa Clara California,263,302,375,459,542,574,591,646,848,890,956,1019,1019,1148,1207,1207,1285
Snohomish Washington,480,519,614,634,778,912,913,912,1068,1229,1304,1376,1376,1503,1559,1603,1659
Somerset New Jersey,51,67,102,117,179,222,258,295,349,413,472,549,641,765,833,902,1033
St. Louis Missouri,22,69,100,129,173,247,313,336,366,492,605,712,712,864,864,1033,1203
Suffolk Massachusetts,126,154,234,342,448,631,843,940,1115,1373,1624,1896,2183,2429,2658,2929,3245
Suffolk New York,1034,1458,1880,2260,2735,3385,4138,5023,5791,6713,7605,8746,10154,11370,13129,14185,15561
Unassigned New Jersey,221,419,645,930,1478,1984,2478,3020,3847,3686,4512,4866,4808,3935,3821,3521,2207
Union New Jersey,124,189,246,262,432,519,742,896,1213,1418,1661,2010,2487,2916,3216,3685,4368
Wayne Michigan,477,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096,6762,7518,8270,9045
Westchester New York,1873,2894,3891,4691,5944,7187,7875,8519,9326,9967,10683,11567,12351,13081,13723,14294,14294
Worcester Massachusetts,37,42,73,129,166,219,291,337,390,433,563,667,825,915,978,1077,1172
Travis Texas,62,79,86,98,119,160,179,200,206,244,244,351,351,430,484,502,502
Williamson Texas,9,14,14,22,27,34,34,37,37,42,50,63,71,71,77,77,81
